Frequency (Hz)	Level (dB)
644.650269	-66.832664
645.323181	-67.145584
645.996094	-67.250221
646.669006	-66.208031
647.341919	-65.626495
648.014832	-65.532852
648.687744	-64.978241
649.360657	-66.225754
650.033569	-66.882118
650.706482	-67.865326
651.379395	-64.659912
652.052307	-66.402588
652.725220	-66.193130
653.398132	-64.540207
654.071045	-63.347984
654.743958	-63.079628
655.416870	-65.206512
656.089783	-66.081345
656.762695	-64.415436
657.435608	-63.638592
658.108521	-64.040504
658.781433	-64.455742
659.454346	-64.312454
660.127258	-63.111233
660.800171	-63.903244
661.473083	-65.338501
662.145996	-64.655365
662.818909	-64.931221
663.491821	-62.858021
664.164734	-61.856472
664.837646	-61.768509
665.510559	-61.363804
666.183472	-62.561684
666.856384	-64.931526
667.529297	-62.656712
668.202209	-61.697613
668.875122	-59.133724
669.548035	-60.622322
670.220947	-60.906033
670.893860	-59.922791
671.566772	-58.842579
672.239685	-59.196671
672.912598	-59.111183
673.585510	-58.904621
674.258423	-60.401752
674.931335	-60.957371
675.604248	-57.631184
676.277161	-59.114292
676.950073	-56.908176
677.622986	-56.657856
678.295898	-56.746670
678.968811	-54.446022
679.641724	-53.353241
680.314636	-52.769470
680.987549	-53.267159
681.660461	-56.597206
682.333374	-56.310131
683.006287	-53.185722
683.679199	-51.843964
684.352112	-53.722916
685.025024	-52.271729
685.697937	-51.133472
686.370850	-52.905823
687.043762	-53.148663
687.716675	-51.077911
688.389587	-53.256580
689.062500	-53.062695
689.735413	-51.370159
690.408325	-52.371262
691.081238	-52.284996
691.754150	-53.796658
692.427063	-55.902916
693.099976	-54.575169
693.772888	-54.325565
694.445801	-56.111156
695.118713	-59.017410
695.791626	-56.495113
696.464539	-58.375111
697.137451	-58.903198
697.810364	-60.417019
698.483276	-60.738873
699.156189	-60.117558
699.829102	-60.022354
700.502014	-60.009384
701.174927	-58.723137
701.847839	-60.867287
702.520752	-59.778255
703.193665	-61.360565
703.866577	-61.898148
704.539490	-62.832573
705.212402	-63.799610
705.885315	-63.245075
706.558228	-61.975056
707.231140	-62.190475
707.904053	-61.509300
708.576965	-64.165749
709.249878	-62.241905
709.922791	-64.492661
710.595703	-64.792198
711.268616	-63.471474
711.941528	-62.772446
712.614441	-65.388847
713.287354	-63.810913
713.960266	-61.801403
714.633179	-62.523853
715.306091	-65.054451
715.979004	-65.251625
716.651917	-65.332298
717.324829	-66.323280
717.997742	-65.958138
718.670654	-68.445824
719.343567	-65.868263
720.016479	-64.428055
720.689392	-65.239799
721.362305	-63.444038
722.035217	-64.645126
722.708130	-65.867363
723.381042	-66.545235
724.053955	-65.608246
724.726868	-64.016769
725.399780	-66.796898
726.072693	-67.286919
726.745605	-66.930923
727.418518	-65.857651
728.091431	-67.006271
728.764343	-68.929520
729.437256	-69.047676
730.110168	-67.345642
730.783081	-65.726036
731.455994	-66.858246
732.128906	-66.674438
732.801819	-67.014175
733.474731	-67.586494
734.147644	-67.540054
