Frequency (Hz)	Level (dB)
570.629883	-70.114967
571.302795	-70.220764
571.975708	-69.230759
572.648621	-69.678741
573.321533	-70.497337
573.994446	-70.334213
574.667358	-70.663475
575.340271	-71.172455
576.013184	-70.854607
576.686096	-69.519630
577.359009	-72.424957
578.031921	-71.190361
578.704834	-71.443069
579.377747	-71.918243
580.050659	-71.166298
580.723572	-71.598289
581.396484	-71.783424
582.069397	-69.827805
582.742310	-72.071655
583.415222	-70.833717
584.088135	-70.934219
584.761047	-70.824265
585.433960	-71.411171
586.106873	-70.350395
586.779785	-72.220810
587.452698	-69.955856
588.125610	-71.593269
588.798523	-70.504051
589.471436	-71.155708
590.144348	-70.479370
590.817261	-70.610825
591.490173	-70.679123
592.163086	-70.590881
592.835999	-71.093819
593.508911	-71.050972
594.181824	-69.223701
594.854736	-72.117485
595.527649	-69.892418
596.200562	-71.435486
596.873474	-70.320992
597.546387	-71.698715
598.219299	-70.227463
598.892212	-70.381477
599.565125	-69.756729
600.238037	-70.626495
600.910950	-72.742996
601.583862	-69.815865
602.256775	-68.875229
602.929688	-70.630173
603.602600	-68.527390
604.275513	-71.582962
604.948425	-70.294395
605.621338	-69.118996
606.294250	-69.592789
606.967163	-67.100380
607.640076	-68.154404
608.312988	-70.612778
608.985901	-70.332626
609.658813	-69.897896
610.331726	-68.841187
611.004639	-69.357430
611.677551	-68.724236
612.350464	-68.410164
613.023376	-68.818893
613.696289	-70.308510
614.369202	-69.102379
615.042114	-68.697487
615.715027	-69.984924
616.387939	-69.414528
617.060852	-67.273392
617.733765	-67.764832
618.406677	-70.175972
619.079590	-70.999542
619.752502	-67.139275
620.425415	-68.386734
621.098328	-66.250534
621.771240	-68.108551
622.444153	-68.005836
623.117065	-68.425606
623.789978	-66.208473
624.462891	-65.970695
625.135803	-64.647354
625.808716	-65.251312
626.481628	-66.189079
627.154541	-66.156105
627.827454	-66.140305
628.500366	-63.842522
629.173279	-66.015869
629.846191	-66.511833
630.519104	-67.764168
631.192017	-68.285927
631.864929	-67.306847
632.537842	-65.434776
633.210754	-66.747215
633.883667	-66.645882
634.556580	-65.125397
635.229492	-66.202896
635.902405	-68.249359
636.575317	-63.955456
637.248230	-64.616943
637.921143	-63.411110
638.594055	-62.704025
639.266968	-65.277428
639.939880	-65.831528
640.612793	-63.616646
641.285706	-63.039803
641.958618	-62.605545
642.631531	-62.025146
643.304443	-64.064659
643.977356	-62.856102
644.650269	-62.829334
645.323181	-63.125465
645.996094	-62.707249
646.669006	-61.534416
647.341919	-61.965698
648.014832	-61.906906
648.687744	-61.506454
649.360657	-62.043118
650.033569	-62.079857
650.706482	-63.527267
651.379395	-60.876183
652.052307	-61.817051
652.725220	-62.040829
653.398132	-60.371922
654.071045	-59.320068
654.743958	-58.628223
655.416870	-60.183460
656.089783	-61.705036
656.762695	-60.796669
657.435608	-59.249390
658.108521	-59.061096
658.781433	-58.916550
659.454346	-59.466019
660.127258	-59.549595
660.800171	-59.018391
661.473083	-60.383858
662.145996	-60.006275
662.818909	-59.685413
663.491821	-57.449596
664.164734	-57.002232
664.837646	-56.756550
665.510559	-56.187923
666.183472	-57.881577
666.856384	-60.449482
667.529297	-58.355747
668.202209	-56.658714
668.875122	-55.299980
669.548035	-56.503288
670.220947	-57.005524
670.893860	-55.972767
671.566772	-55.489952
672.239685	-56.676449
672.912598	-56.207600
673.585510	-56.536736
674.258423	-58.456421
674.931335	-59.154327
675.604248	-56.272461
676.277161	-58.297035
676.950073	-56.674164
677.622986	-57.354927
678.295898	-57.959587
678.968811	-56.378288
679.641724	-56.129402
680.314636	-55.553768
680.987549	-56.737350
681.660461	-60.605217
682.333374	-60.922718
683.006287	-58.529762
683.679199	-57.532253
684.352112	-60.020191
685.025024	-59.047256
685.697937	-58.022182
686.370850	-59.483334
687.043762	-60.511784
687.716675	-58.513062
688.389587	-60.339554
689.062500	-59.823166
689.735413	-58.235203
690.408325	-58.994995
691.081238	-58.826767
691.754150	-60.223404
692.427063	-61.559673
693.099976	-60.766922
693.772888	-59.625278
694.445801	-61.344589
695.118713	-64.292694
695.791626	-61.538185
696.464539	-63.244698
697.137451	-63.869209
697.810364	-64.660431
698.483276	-65.371994
699.156189	-64.724617
699.829102	-63.551266
700.502014	-63.758083
701.174927	-62.550804
701.847839	-64.374748
702.520752	-62.494896
703.193665	-63.911983
703.866577	-64.503265
704.539490	-65.720695
705.212402	-66.504089
705.885315	-65.386368
706.558228	-64.936607
707.231140	-64.673828
707.904053	-63.737301
708.576965	-65.882301
709.249878	-63.924927
709.922791	-66.862198
710.595703	-67.559860
711.268616	-66.151665
711.941528	-64.762993
712.614441	-66.923355
713.287354	-66.328270
713.960266	-63.636948
714.633179	-64.985580
715.306091	-67.412384
715.979004	-67.277390
716.651917	-66.233711
717.324829	-68.050797
717.997742	-67.676514
718.670654	-69.932518
719.343567	-67.625153
720.016479	-66.466827
720.689392	-67.657768
721.362305	-65.115631
722.035217	-65.442039
722.708130	-67.196793
723.381042	-68.042877
724.053955	-66.518723
724.726868	-65.233742
725.399780	-67.944962
726.072693	-68.854881
726.745605	-67.997993
727.418518	-67.390205
728.091431	-67.767227
728.764343	-69.908493
729.437256	-70.588028
730.110168	-69.502113
730.783081	-67.148766
731.455994	-68.259964
732.128906	-68.374962
