Frequency (Hz)	Level (dB)
409.130859	-77.145164
409.803772	-76.300568
410.476685	-75.846985
411.149597	-74.927628
411.822510	-75.118286
412.495422	-76.645935
413.168335	-76.021233
413.841248	-80.992836
414.514160	-75.951462
415.187073	-77.757248
415.859985	-76.567024
416.532898	-77.173370
417.205811	-75.244217
417.878723	-76.631783
418.551636	-74.153175
419.224548	-78.250862
419.897461	-75.660263
420.570374	-75.308968
421.243286	-74.873535
421.916199	-75.064651
422.589111	-75.953079
423.262024	-76.162125
423.934937	-75.040413
424.607849	-76.707108
425.280762	-74.715149
425.953674	-74.879868
426.626587	-76.777916
427.299500	-75.318665
427.972412	-77.627419
428.645325	-77.239685
429.318237	-76.535805
429.991150	-76.413063
430.664062	-75.302094
431.336975	-76.573471
432.009888	-74.735809
432.682800	-73.970146
433.355713	-78.190811
434.028625	-75.092110
434.701538	-74.743813
435.374451	-75.777328
436.047363	-75.624809
436.720276	-74.586937
437.393188	-75.583733
438.066101	-73.627426
438.739014	-73.441238
439.411926	-74.953018
440.084839	-75.828255
440.757751	-75.965294
441.430664	-74.546265
442.103577	-75.635551
442.776489	-74.410469
443.449402	-74.239433
444.122314	-74.127853
444.795227	-73.053673
445.468140	-77.796944
446.141052	-74.321053
446.813965	-73.675674
447.486877	-73.207222
448.159790	-74.926941
448.832703	-75.271217
449.505615	-73.430344
450.178528	-75.517502
450.851440	-73.982941
451.524353	-75.363098
452.197266	-76.524101
452.870178	-75.395416
453.543091	-74.809120
454.216003	-74.461334
454.888916	-75.805794
455.561829	-76.073738
456.234741	-76.422310
456.907654	-74.450066
457.580566	-73.357178
458.253479	-73.955284
458.926392	-73.772743
459.599304	-75.456131
460.272217	-75.545067
460.945129	-73.310211
461.618042	-75.780693
462.290955	-73.519058
462.963867	-73.242912
463.636780	-71.749077
464.309692	-72.435768
464.982605	-74.310165
465.655518	-74.403305
466.328430	-73.014015
467.001343	-75.702850
467.674255	-73.027687
468.347168	-74.456978
469.020081	-72.164719
469.692993	-71.535828
470.365906	-71.474609
471.038818	-71.608604
471.711731	-72.100700
472.384644	-72.591171
473.057556	-75.880859
473.730469	-71.907753
474.403381	-72.819954
475.076294	-73.299530
475.749207	-74.599716
476.422119	-71.411949
477.095032	-71.810043
477.767944	-73.528770
478.440857	-72.590012
479.113770	-73.580086
479.786682	-73.797935
480.459595	-72.978958
481.132507	-70.455498
481.805420	-72.322250
482.478333	-71.132431
483.151245	-70.794136
483.824158	-72.289948
484.497070	-70.915977
485.169983	-70.888443
485.842896	-70.264023
486.515808	-69.615891
487.188721	-72.015915
487.861633	-71.905396
488.534546	-69.313782
489.207458	-70.593689
489.880371	-68.517647
490.553284	-68.917107
491.226196	-68.831062
491.899109	-68.712456
492.572021	-69.676514
493.244934	-68.708450
493.917847	-69.662285
494.590759	-67.788818
495.263672	-69.078239
495.936584	-69.080780
496.609497	-69.526733
497.282410	-68.390152
497.955322	-69.595970
498.628235	-67.678215
499.301147	-68.680603
499.974060	-65.292725
500.646973	-67.071640
501.319885	-67.790451
501.992798	-67.630608
502.665710	-67.332474
503.338623	-67.466537
504.011536	-67.950195
504.684448	-67.784546
505.357361	-67.412346
506.030273	-64.525146
506.703186	-66.093864
507.376099	-68.733261
508.049011	-67.939636
508.721924	-66.826660
